Year.GHD;Bor;Bur;Cha2;LLV;Spa;Swi
1825;9.7;19.65;14.0;24.7;NA;39.0
1826;18.5;32.65;23.1;35.1;NA;40.0
1827;18.5;28.65;25.6;35.7;NA;40.7
1828;15.3;31.87;23.6;41.7;NA;37.7
1829;25.3;42.65;37.6;51.7;NA;50.5
1830;15.6;28.87;33.6;48.1;NA;43.1
1831;13.4;28.87;33.1;36.1;NA;45.1
1832;20.5;34.65;27.1;51.1;NA;47.4
1833;20.7;28.65;26.6;39.7;NA;41.0
1834;9.0;15.87;14.1;31.1;NA;28.3
1835;24.0;35.65;30.1;40.7;NA;46.0
1836;23.8;36.65;26.6;40.1;NA;46.2
1837;25.8;40.40;29.6;48.7;NA;49.0
1838;29.3;38.40;35.0;48.1;NA;49.3
1839;26.3;30.76;21.4;40.1;NA;40.8
1840;18.6;25.40;24.0;41.1;NA;40.5
1841;19.3;27.33;21.4;47.1;NA;37.5
1842;21.8;20.40;13.3;34.1;NA;31.9
1843;36.3;46.76;36.7;59.1;NA;53.6
1844;14.8;22.76;23.7;33.1;NA;40.2
1845;38.1;37.01;31.7;57.1;NA;50.1
1846;14.3;13.18;8.8;27.1;NA;29.5
1847;25.3;34.76;28.8;44.6;NA;43.0
1848;19.8;28.76;22.2;40.6;NA;40.3
1849;21.0;27.01;23.7;38.1;NA;38.2
1850;29.2;36.51;24.3;45.1;NA;49.5
1851;26.9;35.01;28.8;50.6;NA;52.0
1852;24.3;25.16;23.0;40.6;NA;40.3
1853;39.2;36.49;29.2;61.6;NA;51.5
1854;35.0;28.65;29.8;54.6;NA;41.0
1855;36.8;35.58;27.0;50.1;NA;47.7
1856;29.9;31.87;26.8;44.1;NA;47.3
1857;19.0;21.25;15.3;34.6;NA;39.2
1858;20.0;19.75;16.3;32.6;NA;36.0
1859;22.0;20.32;20.3;31.1;NA;35.7
1860;28.0;36.51;34.8;57.6;NA;52.3
1861;21.8;25.87;21.3;38.6;NA;35.4
1862;19.0;22.87;18.3;39.1;NA;33.4
1863;23.1;24.07;25.5;38.1;NA;35.5
1864;17.2;27.76;22.2;35.1;NA;40.9
1865;6.2;10.32;1.1;20.1;NA;25.9
1866;20.8;25.93;27.3;44.1;NA;46.0
1867;18.3;27.93;26.8;49.6;NA;41.3
1868;6.4;11.76;11.1;32.6;NA;24.4
1869;14.9;21.26;23.8;49.1;NA;37.7
1870;10.2;20.49;11.5;28.6;NA;32.7
1871;22.2;34.82;28.0;43.6;NA;42.7
1872;25.8;27.82;24.3;47.6;NA;41.3
1873;22.8;29.65;28.7;46.1;NA;39.7
1874;15.0;22.07;16.7;34.1;NA;35.3
1875;23.2;23.87;21.3;45.6;NA;33.0
1876;29.0;35.87;26.8;37.1;NA;45.3
1877;26.0;34.87;27.4;43.1;NA;44.0
1878;24.0;34.00;24.3;52.6;NA;46.7
1879;44.2;47.76;37.8;70.6;NA;51.7
1880;22.6;30.83;22.5;63.0;NA;40.5
1881;21.1;25.75;22.6;34.0;NA;35.5
1882;25.1;35.57;33.8;48.0;NA;43.5
1883;29.6;33.68;25.9;44.0;NA;42.0
1884;25.1;28.58;22.8;40.0;NA;32.5
1885;26.1;25.33;23.0;42.0;NA;35.0
1886;24.6;28.58;22.9;50.0;NA;39.0
1887;24.6;28.93;26.9;47.0;NA;34.0
1888;32.1;34.16;30.4;50.0;NA;40.5
1889;35.6;25.16;12.4;44.0;NA;43.0
1890;31.1;31.00;29.9;50.0;NA;41.5
1891;34.6;39.58;39.0;51.0;NA;41.0
1892;17.6;21.93;17.0;33.0;NA;27.0
1893;-12.4;-2.67;-2.2;11.0;28.0;22.5
1894;28.1;29.00;25.4;49.0;39.0;37.5
1895;21.1;23.00;17.9;41.0;38.0;27.0
1896;16.1;26.87;23.8;28.0;42.0;36.0
1897;15.6;20.00;16.0;39.0;27.0;20.0
1898;20.1;30.00;38.4;47.0;42.0;39.0
1899;21.1;25.87;23.9;36.0;25.0;28.5
1900;18.1;27.87;18.0;33.0;32.0;30.0
1901;10.6;15.43;19.5;31.0;34.0;24.0
1902;20.6;32.00;31.0;42.0;NA;36.5
1903;22.1;33.87;33.0;45.0;40.0;33.5
1904;15.1;17.87;17.0;33.0;26.0;18.0
1905;13.6;23.87;23.0;32.0;48.0;27.5
1906;11.6;21.43;18.0;28.0;40.0;30.5
1907;22.1;33.43;30.0;49.0;34.0;39.5
1908;14.1;21.93;16.0;35.0;49.0;29.0
1909;22.1;32.43;26.0;41.0;48.0;40.5
1910;36.4;19.00;NA;49.0;55.0;37.5
1911;14.4;12.87;10.0;29.0;41.0;26.0
1912;19.4;27.93;28.0;38.0;44.0;46.5
1913;22.9;31.93;36.0;47.0;45.0;30.0
1914;19.1;34.43;28.0;42.0;45.0;36.0
1915;19.1;15.00;10.0;34.0;42.0;26.5
1916;24.1;35.00;25.0;43.0;46.0;37.5
1917;16.1;25.00;10.0;34.0;NA;19.0
1918;22.1;24.43;24.0;38.0;NA;31.5
1919;19.1;25.87;28.0;34.0;NA;32.5
1920;18.9;22.93;22.0;58.0;NA;25.0
1921;13.1;19.87;19.0;38.0;37.0;22.0
1922;10.9;25.50;23.0;44.0;41.0;35.0
1923;26.1;29.00;38.0;40.0;NA;37.0
1924;15.9;22.87;24.3;41.0;31.0;31.5
1925;28.9;22.93;29.3;45.0;59.0;30.0
1926;23.4;25.43;35.3;46.0;58.0;38.6
1927;19.4;22.93;22.8;45.0;40.0;26.6
